Country,Pop,YearlyChange,NetChange,Density,Area,Migrants,Fert.Rate,Med.Age,UrbanPop,WorldShare,PopArea
China,1439323776,0.39,5540090,153,9388211,-348399.0,1.7,38,61,18.47,153.31182650240817
India,1380004385,0.99,13586631,464,2973190,-532687.0,2.2,28,35,17.7,464.1494102294169
United States,331002651,0.59,1937734,36,9147420,954806.0,1.8,38,83,4.25,36.18535619879704
Indonesia,273523615,1.07,2898047,151,1811570,-98955.0,2.3,30,56,3.51,150.98705266702362
Pakistan,220892340,2.0,4327022,287,770880,-233379.0,3.6,23,35,2.83,286.5456880448319
Brazil,212559417,0.72,1509890,25,8358140,21200.0,1.7,33,88,2.73,25.431425771762616
Nigeria,206139589,2.58,5175990,226,910770,-60000.0,5.4,18,52,2.64,226.33550622001164
Bangladesh,164689383,1.01,1643222,1265,130170,-369501.0,2.1,28,39,2.11,1265.18693247292
Russia,145934462,0.04,62206,9,16376870,182456.0,1.8,40,74,1.87,8.911010589935684
Mexico,128932753,1.06,1357224,66,1943950,-60000.0,2.1,29,84,1.65,66.32513850664883
Japan,126476461,-0.3,-383840,347,364555,71560.0,1.4,48,92,1.62,346.9338261716339
Ethiopia,114963588,2.57,2884858,115,1000000,30000.0,4.3,19,21,1.47,114.963588
Philippines,109581078,1.35,1464463,368,298170,-67152.0,2.6,26,47,1.41,367.5120837106349
Egypt,102334404,1.94,1946331,103,995450,-38033.0,3.3,25,43,1.31,102.80215379978904
Vietnam,97338579,0.91,876473,314,310070,-80000.0,2.1,32,38,1.25,313.92452994485114
DR Congo,89561403,3.19,2770836,40,2267050,23861.0,6.0,17,46,1.15,39.50570256500739
Turkey,84339067,1.09,909452,110,769630,283922.0,2.1,32,76,1.08,109.5839130491275
Iran,83992949,1.3,1079043,52,1628550,-55000.0,2.2,32,76,1.08,51.575296429338984
Germany,83783942,0.32,266897,240,348560,543822.0,1.6,46,76,1.07,240.37164907046133
Thailand,69799978,0.25,174396,137,510890,19444.0,1.5,40,51,0.9,136.6242791990448
United Kingdom,67886011,0.53,355839,281,241930,260650.0,1.8,40,83,0.87,280.601872442442
France,65273511,0.22,143783,119,547557,36527.0,1.9,42,82,0.84,119.2086138977312
Italy,60461826,-0.15,-88249,206,294140,148943.0,1.3,47,69,0.78,205.5545862514449
Tanzania,59734218,2.98,1728755,67,885800,-40076.0,4.9,18,37,0.77,67.4353330322872
South Africa,59308690,1.28,750420,49,1213090,145405.0,2.4,28,67,0.76,48.89059344319053
Myanmar,54409800,0.67,364380,83,653290,-163313.0,2.2,29,31,0.7,83.28583018261415
Kenya,53771296,2.28,1197323,94,569140,-10000.0,3.5,20,28,0.69,94.47815300277612
South Korea,51269185,0.09,43877,527,97230,11731.0,1.1,44,82,0.66,527.2980047310501
Colombia,50882891,1.08,543448,46,1109500,204796.0,1.8,31,80,0.65,45.861100495718794
Spain,46754778,0.04,18002,94,498800,40000.0,1.3,45,80,0.6,93.73451884522855
Uganda,45741007,3.32,1471413,229,199810,168694.0,5.0,17,26,0.59,228.92251138581653
Argentina,45195774,0.93,415097,17,2736690,4800.0,2.3,32,93,0.58,16.514758339453866
Algeria,43851044,1.85,797990,18,2381740,-10000.0,3.1,29,73,0.56,18.41134800607959
Sudan,43849260,2.42,1036022,25,1765048,-50000.0,4.4,20,35,0.56,24.843097751449253
Ukraine,43733762,-0.59,-259876,75,579320,10000.0,1.4,41,69,0.56,75.49154525995995
Iraq,40222493,2.32,912710,93,434320,7834.0,3.7,21,73,0.52,92.61027122858722
Afghanistan,38928346,2.33,886592,60,652860,-62920.0,4.6,18,25,0.5,59.62740250589713
Poland,37846611,-0.11,-41157,124,306230,-29395.0,1.4,42,60,0.49,123.58884172027561
Canada,37742154,0.89,331107,4,9093510,242032.0,1.5,41,81,0.48,4.15044949639908
Morocco,36910560,1.2,438791,83,446300,-51419.0,2.4,30,64,0.47,82.70347300022407
Saudi Arabia,34813871,1.59,545343,16,2149690,134979.0,2.3,32,84,0.45,16.194833208509134
Uzbekistan,33469203,1.48,487487,79,425400,-8863.0,2.4,28,50,0.43,78.67701692524683
Peru,32971854,1.42,461401,26,1280000,99069.0,2.3,31,79,0.42,25.7592609375
Angola,32866272,3.27,1040977,26,1246700,6413.0,5.6,17,67,0.42,26.36261490334483
Malaysia,32365999,1.3,416222,99,328550,50000.0,2.0,30,78,0.42,98.51163901993608
Mozambique,31255435,2.93,889399,40,786380,-5000.0,4.9,18,38,0.4,39.74596887001195
Ghana,31072940,2.15,655084,137,227540,-10000.0,3.9,22,57,0.4,136.56034103893822
Yemen,29825964,2.28,664042,56,527970,-30000.0,3.8,20,38,0.38,56.49177794192852
Nepal,29136808,1.85,528098,203,143350,41710.0,1.9,25,21,0.37,203.25642134635507
Venezuela,28435940,-0.28,-79889,32,882050,-653249.0,2.3,30,0,0.36,32.23846720707443
Madagascar,27691018,2.68,721711,48,581795,-1500.0,4.1,20,39,0.36,47.59583358399436
Cameroon,26545863,2.59,669483,56,472710,-4800.0,4.6,19,56,0.34,56.156762073998856
